Time (s),Voltage,Current
21240,24.09375353535353,-31.21301111111117
21300,24.056623,-31.212971000000042
21360,24.01958888888889,-31.213177777777833
21420,23.983089898989892,-31.213266666666716
21480,23.944123,-31.213444000000052
21540,23.904488999999998,-31.21332300000005
21600,23.867721000000003,-31.21333400000006
21660,23.83336464646464,-31.213366666666722
21720,23.800272999999997,-31.213356000000058
21780,23.761785,-31.213455000000053
21840,23.7254202020202,-31.213466666666722
21900,23.6921,-31.213333333333388
21960,23.658373,-31.213378000000056
22020,23.623336,-31.213213000000064
22080,23.588660606060607,-31.213122222222278
22140,23.556082,-31.21331200000006
22200,23.52403232323233,-31.213144444444506
22260,23.489189999999997,-31.21330100000006
22320,23.454230303030307,-31.21318888888893
22380,23.421568000000008,-31.21332300000006
22440,23.390605000000004,-31.21334500000005
22500,23.357418000000003,-31.213389000000056
22560,23.32473131313131,-31.21330000000006
22620,23.292682000000003,-31.213378000000052
22680,23.261177000000004,-31.21340000000006
22740,23.227005050505046,-31.21331111111117
22800,23.194676000000005,-31.212861000000036
22860,23.164448484848485,-31.21328888888894
22920,23.131923,-31.213114000000036
22980,23.099811111111112,-31.213088888888944
23040,23.067608,-31.21285000000003
23100,23.037153535353532,-31.213111111111164
23160,23.006494000000004,-31.213136000000045
23220,22.974446464646462,-31.21288888888893
23280,22.943487,-31.213026000000045
23340,22.911954545454545,-31.21301111111117
23400,22.880517000000005,-31.212982000000064
23460,22.84825151515151,-31.213177777777844
23520,22.816412999999997,-31.213246000000062
23580,22.787063999999997,-31.213224000000064
23640,22.756909090909087,-31.213000000000036
23700,22.723357999999994,-31.21290500000006
23760,22.691167676767673,-31.212755555555606
23820,22.659212000000004,-31.212795000000042
23880,22.628031313131313,-31.212844444444475
23940,22.597011,-31.213290000000047
24000,22.56446262626263,-31.21326666666672
24060,22.534316,-31.213257000000034
24120,22.502623232323227,-31.213244444444502
24180,22.469214141414138,-31.21326666666671
24240,22.437541,-31.21311400000004
24300,22.4043404040404,-31.21314444444449
24360,22.37099494949495,-31.212744444444503
24420,22.338123999999997,-31.213037000000035
24480,22.305468,-31.21290500000004
24540,22.27172424242425,-31.213244444444506
24600,22.23686800000001,-31.21279500000006
24660,22.203685,-31.212795000000057
24720,22.166092999999996,-31.21264100000004
24780,22.13066969696969,-31.212622222222258
24840,22.09346199999999,-31.212619000000032
24900,22.055460606060603,-31.21238888888891
24960,22.019316161616175,-31.213022222222275
25020,21.979264999999995,-31.212553000000025
25080,21.938022222222223,-31.212855555555596
25140,21.897383000000005,-31.212971000000056
25200,21.851765656565654,-31.213011111111165
25260,21.80809393939394,-31.212977777777816
25320,21.76064700000001,-31.212630000000043
25380,21.710756,-31.212576000000034
25440,21.65664343434344,-31.21239090909095
25500,21.60001111111111,-31.212766666666706
25560,21.538713131313134,-31.21261111111114
25620,21.472529999999995,-31.21271800000004
25680,21.39781717171717,-31.21258888888893
25740,21.313619191919187,-31.212322222222248
25800,21.211685,-31.21238800000003
25860,21.08201414141413,-31.212466666666696
25920,20.88961010101011,-31.21243333333337
25980,20.47248400000001,-31.212641000000033
26040,19.55549,-31.21263000000004
26100,18.458308333333335,-30.345581944444444
